"","ID.Title","job_total","joboverviewoverview_total"
"job11","878951	programmer isd bentonville ar""","Ideally you will have… 1+ years experience building and running small, focused Node.js applications in production environmentsExperience with a variety of Node frameworks (Express, Hapi, Koa to name a few…)Experience working with sharded mongoDB clustersExperience with functional programming concepts and practical application in JavaScript (map, filter, reduce, immutability etc.)The ability to write really clean code, and examples of this to showA solid understanding and emphasis on testing and testing types/methodologies (TDD, BDD, contract testing etc.)A mindset of continuous refactoringWe’d love for you to also have…Some experience with front-end JavaScript frameworks (Angular, React, Redux) Experience running containerized services The ability to spin up shell or python scripts at a moment’s noticeExperience with relational databases (MySQL, SQL Server)","    This position will be on the Walmart Labs Supply Chain team, focused on building Walmart's best in class Warehouse Management SystemWorking on Supply Chain At Walmart Labs you will… Work with small teams of talented engineers to build a best-in-class supply chainSolve difficult business problems using the latest and greatest technology, innovating the future of SC at WalmartBe given the freedom to try new things and prove the value of your own ideas and innovations and own them all the way to productionBuild highly-scalable microservices running on distributed servers, on a kubernetes cluster, or in the cloudEffectively manage the balance between your end-users and your business stakeholdersParticipate in internal hackathons and innovation challenges! "
"job12","822826	staff devops engineer sunnyvale ca""","• Bachelor's Degree in Computer Science or related field.• 8+ years experience building scalable eCommerce applications or mobile software.• Node experience• Java experience• Designing and implementing the database migration• Implement database structure such as tables, indexes and long running queries, cron/batch jobs• Cloud Deployment• Puppet, Jenkins, Tomcat HAproxy• Oracle, MYSQL, Cassendra• MemCacheD, Redis","    • Alerting and Monitoring Subject Mater Expert (Splunk,Logstash, and other Enterprise Logging Tools)• Application development and root cause analysis to help solve incidents• Develops Innovation strategies, processes, automation, failover experience• Experience in driving high availability across multiple applications• Experience in putting together infrastructure architecture diagrams• Leads and participates in medium- to large-scale, complex, cross-functional technical projects• Partners with architects and development leads to come up with high level design• Pro-Actively identifies areas to drive automation across ecommerce platform• Troubleshoots business and production issues• Creating new production “like” test environments• Design and setup of new large cloud clusters#LI-JB1  "
"job13","847283	developer ii isd east reston va""","Bachelor's degree in Computer Science, Information Technology or related field and 5 years experience in computer programming, software development or related field OR Master's degree in Computer Science, Information Technology or related field and 3 computer programming, software development or related field.","    Our ideal candidate:Versatile and eager to tackle new problemsAgile, detail oriented, and driven to engineer awesome solutionsSuperior verbal and written communication skillsStrong organizational skillsSelf-starter and a team playerCan juggle multiple tasks, work independently and maintain professionalism under pressureIf you want to be part of a dynamic, fast paced and innovative engineering team, join Walmart Technology in Reston, VA.Our team is searching for a Developer with the following skills:Design and implement distributed systems in an agile delivery environmentParticipate in system design process and solution developmentImplement code quality standardsEnsure business needs are metPromote and support company policies, procedures, mission, values, and standards of ethics and integrityTroubleshoot and lead the development and implementation of production solutions  "
"job14","851220	programmer analyst isd net bentonville ar""","Bachelor s degree in Computer Science, Information Technology, or related field and 1 1/2 years experience in information technology within the past 5 years OR 3 1/2 years experience in information technology or related field within the past 5 years OR a Master's degree in Computer Science, Information Technology, or related field.","    Conducts application analysis and design for end usersDemonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plans. Responsible for designing and developing Walmart Store Systems application using C#, .Net.   Develops team member capabilitiesModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityParticipates on team projectsProvides and supports the implementation of business solutionsSupports Information Systems Division (ISD) applications "
"job15","859852	senior software engineer front end sunnyvale ca""","• 5+ years of experience building highly scalable, high performance, responsive web applications.• 5+ years of experience and sold fundamental’s in front end web technologies including and not limited to HTML/HTML5, CSS/CSS3, JavaScript.• 5+ years of experience in some of these technologies: ReactJS , BackboneJS, AngularJS, NodeJS.• Bachelor's Degree in Computer Science or other related field, or equivalent education.• Ability to work in a fast-paced and agile development environment.• Strong customer focus and obsession with quality.","    If the following statement excites you, click apply!- Collaborate: Work closely with talented engineers and product visionaries to take the Walmart Mexico e-commerce properties to the next level.- Feel involved: your ideas count, collaborate with the team to conceptualize, rapidly prototype and deliver the best online shopping experience features for our customers.- Make an impact: build and maintain a premium e-commerce shopping experience for million’s of customers across 5+ properties in the Mexico market.- Learn and Grow: opportunity to learn a very unique e-commerce market, it’s customers and technologies and utilize that base understanding to drive innovation and value.Demonstrates up-to-date expertise in Software Engineering and applies this to the development, execution, and improvement of action plansLeads and participates in medium- to large-scale projectsLeads the discovery phase of medium to large projects to come up with high level designLeads the work of other small groups of four to six engineers, including offshore associates, for assigned Engineering projectsModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityProvides and supports the implementation of business solutionsProvides support to the businessTroubleshoots business and production issues "
"job16","852605	senior programmer analyst isd full stack bentonville ar""","Bachelor s degree in Computer Science, Information Technology, or related field and 3 years experience in information technology within the past 7 years OR 5 years experience in information technology or related field within the past 7 years.","    Creates and delivers presentations on application solutions to diverse audiences (for example, suppliers, technical staff)Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops associate capabilitiesLeads efforts to increase Information Systems Division (ISD) team effectivenessManages product installation upgrades (for example, Information Systems Division (ISD) application solutions, third-party products)Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityParticipates in team projectsProvides and supports the implementation of business solutionsProvides complex application solutionsSupports Information Systems Division (ISD) applications "
"job17","956279	senior platform engineer predictive analytics platform sunnyvale ca""","3+ years of experience developing scalable, high performing services and applications• Strong experience of the Java programming language, RDBMS, and NoSQL.• Expert knowledge of J2EE and Web service technologies• Expert knowledge of design, implement, and consume RESTful APIs • Expertise in object-oriented design and implementation, developing high-performance, reusable components• Experience in multi-cloud production environment deployment and maintenance• Strong experience in debugging, performance tuning and optimization for scalability and high availability• Ability to rapidly create functional prototypes• Understand SDLC, use of SCM and continuous integration tools• Strong customer focus and obsession with quality","    We are a team of data scientists, systems and application engineers working on using the power of real time predictive analytics to change the future of ecommerce. And what place better to do it than at the Fortune 1 Company with over a billion consumers? Our team is responsible for applying real time predictive analytics to a wide range of problems spanning the entire ecommerce experience with an initial emphasis on transactional risk and fraud. We are a high-performance team looking for others who will challenge us to become even better: come be the newest member of @Labs here at Walmart Global eCommerce!As a Senior Software Engineer, you will have the opportunity to work closely with our data scientists, business partners and systems engineers to drive the definition and implementation of the next generation of applications and analytics tools for our predictive intelligence platform. We are focused on teamwork, technology, and most importantly the customer. From using traditional web applications to visualization tools to mobile to enable data scientists and business users get actionable insights into extreme data, there are a lot of exciting opportunities! • Develop realtime predictive analysis tools and backend platform• Enable data scientists, business and product partners to fully leverage our predictive analytics platform for very large volumes of data• Demonstrate and clearly articulate reasoning for design and implementation choices• Demonstrate willingness to take feedback and adapt solutions where appropriate• Interact with other team members to incorporate their innovations and vice versa• Participate in design and code reviews• Demonstrate up-to-date expertise in Software Engineering and apply this to the development, execution, and improvement of action plans• Lead and participate in medium- to large-scale projects• Be the consummate team player with a demonstrable ability to learn quickly. Amazing ability to get stuff done.#LI-JC1  "
"job18","932109	data analyst sunnyvale ca""","Minimum Qualifications• BS degree with 3+ yrs of relevant exp or Master's degree in Science, Technology, Engineering, or Math . PhD in quantitative fields is a plus.• Successful candidates typically demonstrate strengths in many of the following areas:o Hands on experience in A/B testing, preferably in product/marketing analytics areao Strong SQL skills and experience using several of Hive, Spark o Experienced working with massive, messy data setso Confident applying appropriate analysis methods of causal inference in both experimental and non-experimental situations• Intellectual curiosity and attention to detail• Organized when analyzing data and conducting research• Strong verbal and written communication skills• Comfortable using the available data to help make decisions• Customer focused and passionate about using data to drive business growth• Clear and unambiguous when making commitments and always follows up on promises• Understands product development in leading technology companies","    We are looking for a Big Data Analyst/Engineer/Scientist who wishes to jumpstart their career by helping SEM team drive continuous optimization of PPC ad spend on search engines by increasing transparency of outcomes of algorithm's decisions, by performing advanced visualizations of data to uncover insights and potential features to be used by the algo, by architecting, executing and reporting “beyond doubt” results of A/B tests of various bidding strategies and formalizing attribution methods to score impact of various capabilities of PPC ads on engines.You have a deep understanding in A/B testing, and all the statistical theory supporting A/B testing. You will be comfortable working at the intersection of statistics, causal inference.We are hiring a partner to both Digital Marketing and Data Science team to provide analytic support as they evaluate strategies or validate hypotheses using our extremely diverse sets of historical data. We are looking for someone who is as comfortable working on experimentation edge cases as well as the day to day. You love sitting down and helping solve problems and push the boundaries to drive quality and excellence in experimentation.  "
"job19","949505	senior data analyst san bruno ca""","-  Bachelor’s degree in Computer Science, Business Administration, Information Systems, or related field - 5 years experience in Data Analysis- Strong understanding of performing data anaylsis- SQL proficient and knowledgeable on database concepts, must be able to extract data from hadoop/hive big Data Sources - Experience with BI tools, specifically Tableau (server and client)","    The Sr. Data Analyst will collaborate with Product Manager, Engineers, Data Scientists, Category Managers and Analysts in other areas of walmart.com and grocery.walmart.com to answer Search related business and product questions. (S)he will create end-to-end analytical solutions to empower data-driven decision making across Search and among Search Partners.  "
"job20","944402	senior statistical analyst data analytics sunnyvale ca""","* Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 5 years experience in an analytics related field OR Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 3 years experience in an analytics related field.","    We are a highly motivated group of Big Data Geeks, Data Scientists and Applications Engineers, working in small agile group to solve this sophisticated problem. We are building smart data systems that ingest, model and analyze massive flow of data from online, social, mobile and offline commerce/user activity to set prices for millions of products in real time. We use state of the art machine learning, data mining and optimization algorithms underneath it all to analyze all this data on top of Hadoop/HBase/Hive. We then build compelling data visualizations and interactive dashboards to showcase our work internally and externally. Your work will be immediately visible to millions of people and you will have a direct impact on the business goals of Fortune #1 company. If you talk, speak and think data we want to talk to you. Come join our small team and be part of the journey from the beginning.* Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plans* Develops analytical models to drive analytics insights* Leads small and participates in large data analytics project teams* Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrity* Participates in the continuous improvement of data science and analytics* Presents data insights and recommendations to key stakeholders* Provides and supports the implementation of business solutions  "
"job21","877573	senior programmer analyst isd big data bentonville ar""","Bachelor s degree in Computer Science, Information Technology, or related field and 3 years experience in information technology within the past 7 years OR 5 years experience in information technology or related field within the past 7 years.","    Walmart Labs is seeking outstanding technologists for our Walmart Labs Retail Data Science team.The mission of the Retail Data Science team:“WE ENGINEER SYSTEMS OF INTELLIGENCE AND ACTION TO AUTOMATE RETAIL DECISIONS AT SCALE”The team creates value for Walmart customers through researching and building complex, cutting edge, and scalable algos, models, platforms, and technologies.  Our team of high caliber engineers, scientists, mathematicians, and statisticians develop rigorous quantitative methods to build efficient and effective algorithms that optimize decisions. We employ the wealth of Walmart data to build this portfolio of AI/ML models in a rapid test, learn, modify cycle.  Our product teams include our business partners – directly.  We see the outcomes of our work to enhance decisions every day.The successful candidate will join a dynamic group of scientists developing breakthrough capabilities in retail, creating new scientific approaches, and innovating solutions using state-of-the-art technology – at Walmart scale.Creates and delivers presentations on application solutions to diverse audiences (for example, suppliers, technical staff)Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops associate capabilitiesLeads efforts to increase Information Systems Division (ISD) team effectivenessManages product installation upgrades (for example, Information Systems Division (ISD) application solutions, third-party products)Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityParticipates in team projectsProvides and supports the implementation of business solutionsProvides complex application solutionsSupports Information Systems Division (ISD) applications "
"job22","946527	manager data analytics bentonville ar""","Bachelor s degree in Business, Mathematics, Engineering, or related field OR 4 years  experience in business, mathematics, engineering or related field.","    Analyze business needsCoordinates, completes, and oversees job-related activities and assignmentsDeveloping and adapting tools and interfaces to transition to business ownersDevelops tools and systems interfacesEnsures compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityProvides supervision and development opportunities for associates "
"job23","867762	senior programmer analyst isd big data hadoop bentonville ar""","Bachelor s degree in Computer Science, Information Technology, or related field and 3 years experience in information technology within the past 7 years OR 5 years experience in information technology or related field within the past 7 years.","    Walmart Labs is seeking outstanding technologists for our Walmart Labs Retail Data Science team.Locations: Reston, VA and Bentonville, ARThe mission of the Retail Data Science team:“WE ENGINEER SYSTEMS OF INTELLIGENCE AND ACTION TO AUTOMATE RETAIL DECISIONS AT SCALE”The team creates value for Walmart customers through researching and building complex, cutting edge, and scalable algos, models, platforms, and technologies.  Our team of high caliber engineers, scientists, mathematicians, and statisticians develop rigorous quantitative methods to build efficient and effective algorithms that optimize decisions. We employ the wealth of Walmart data to build this portfolio of AI/ML models in a rapid test, learn, modify cycle.  Our product teams include our business partners – directly.  We see the outcomes of our work to enhance decisions every day.We are seeking experts adept at partnering with the business, growing talented teams, and building capability development in tech. The ideal leader will combine expertise in AI/ML/Open Source/Tech knowledge, hands-on experience in algorithm planning, engineering, strategic capability development in AI/ML, and imparting keen understanding of revenue models and value creation.The successful candidate will join a dynamic group of scientists developing breakthrough capabilities in retail, creating new scientific approaches, and innovating solutions using state-of-the-art technology – at Walmart scale.Creates and delivers presentations on application solutions to diverse audiences (for example, suppliers, technical staff)Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops associate capabilitiesLeads efforts to increase Information Systems Division (ISD) team effectivenessManages product installation upgrades (for example, Information Systems Division (ISD) application solutions, third-party products)Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityParticipates in team projectsProvides and supports the implementation of business solutionsProvides complex application solutionsSupports Information Systems Division (ISD) applications "
"job24","868950	director retail data science bentonville ar""","4 years of supervisory experience.  Bachelor's degree in Information Technology, Computer Science or related field and 8 years experience in information technology or related field within the past 15 years OR 10 years experience in information technology or related field within the past 15 years OR Master's degree in Information Technology, Computer Science or related field and 6 years experience in information technology or related field within the past 15 years.","    Cultivates an environment where associates respect and adhere to company standards of integrity and ethicsDevelops and implements department strategiesDevelops and implements strategies to attract and maintain a highly skilled and engaged workforceDevelops and leverages internal and external partnerships and networks to maximize the achievement of business goalsDevelops and manages budget in area of responsibilityEnsures application and infrastructure architectural solutions are stable, secure, and compliant with Company standards and practicesManages invoicing and paymentsOversees contractor and supplier processProvides overall directionStrengthens department leadership "
"job25","924791	data scientist san bruno ca""","• PhD in Operations Research, Industrial Engineering, Operations Management or Supply Chain Management• 2+ years of post-graduate work experience, including demonstrated success in leading business analysis projects to achieve business-impacting results• Extensive experience in one or more supply chain domains and related information systems – distribution/transportation, sourcing, planning, manufacturing and inventory management• Experience with large data set mining tools and open-source programming tools, (e.g., R, Python, HiveQL, Spark)• Experience with network modeling tools and network optimization techniques - long range planning is a plus• Experience with statistical analysis, regression modeling, data mining, financial analysis, and optimization.• Expert in MS-Excel and SQL• Competent in MS-PowerPoint and comfortable building presentation materials to tell a clear story• Ability to foster successful partnerships within cross-functional teams• Effective communication skills at multiple levels of the organization, including senior management - ability to communicate complex concepts in easy-to-understand terminology• Ability to champion ideas and influence the organization with fact-driven recommendations• Strong follow-through skills and acute attention to detail• Foster and maintain Wal-Mart's four core values:- Act with Integrity- Respect for the Individual- Service to our Customers- Strive for Excellence","    The Data Scientist, Supply Chain Strategy & Analytics, will lead various projects that deliver future operational strategies across Walmart’s e-Commerce Supply Chain. The Data Scientist will be primarily responsible for leading advanced analytical modeling, simulation and optimization projects sponsored by the senior executive team.  He/she will support our strategic plans, both creating and implementing strategic operational improvements to enable expansion of our business’s scope and scale. This role is part of the Walmart eCommerce Supply Chain Strategy & Analytics team – a future-focused, action-biased, data-driven department chartered with improving all aspects of the supply chain from network design to inbound/outbound transportation and multi-channel initiatives by leveraging big data. This is a high-impact and high-visibility role within the organization with expectations to deliver immediate results. A Data Scientist is responsible for analyzing large data sets, developing custom models and authoring deployable algorithms.  Data Scientists typically work within project teams to provide technical and analytical leadership.  Data Scientists are often responsible for building large data sets from multiple sources.  Data Scientists are also responsible for researching new trends in the industry and utilizing up-to-date technology and analytical methods in their assigned projects.  Responsibilities include:• Manage and execute entire projects from start to finish including cross-functional project management, data gathering and manipulation, analysis and modeling, and communication of insights and recommendations.• Demonstrate a high degree of originality and creativity when developing solutions to improve existing business processes within supply chain utilizing methods such as statistical analysis, regression modeling and optimization.• Work independently to manage multiple projects at once while ensuring deadlines are met and data output is accurate and appropriate for the business. Must also be able to deal with ambiguity and make independent decisions about what data and approach is best for the task at hand.• Build scalable and complex supply chain models and processes to optimize supply chain strategies with goals to deliver excellent customer experience while balancing operating cost and asset efficiency.• Identify areas of opportunity and drive results partnering with cross functional partners• Develop relationships with Wal-Mart functional areas in San Bruno, CA, as well as in Bentonville, AR, to identify best practices, solicit input/data, coordinate inter-disciplinary initiatives and to gather support for recommendations• Potential projects can include:- Create models to analyze the supply chain network need to support future sales growth with scenario modeling capabilities to understand the sensitivity to multiple variables; provide insight to Logistics executives on opening, closing, or repurposing DCs; analyze impact to multiple networks simultaneously; and create scenario analyses extending beyond the five-year modeling horizon- Develop optimization logic and tool to determine truckload lane strategy for outbound transportation balancing cost and SLA requirements- Develop logic and tool to determine optimal share of volume to process in various customer buying channels in the company balancing inventory availability, capacity, cost, and service level requirements#LI-KA2  "
"job26","886678	systems analyst analytics isd hadoop big data bentonville ar""","Bachelor s degree in Computer Science, Information Technology, or related field and 5 years experience in information technology within the past 10 years OR 7 years experience in information technology or related field within the past 10 years.","    Analyzes systems or business processes to design solutions (for example, software, hardware)Conducts business and technical impact analysis of proposed application changesDemonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops associate capabilitiesModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityParticipates on team projectsParticipates, creates, and delivers communication on application solutions to diverse audiences (for example, management, customers, suppliers, technical staff)Provides and supports the implementation of business solutionsSupports Information Systems Division (ISD) teams and applications "
"job27","875213	principal data scientist sunnyvale ca""","• PhD in computer science or similar field with 5+ years of experience  • Highly proficient in Python or Java  • Extremely hands on in building Machine Learning products  • Experience in building data products and crunching terabytes of data  • A good portfolio of machine learning projects with a significant impact on the bottom line  • Experience in working as a tech lead  • Blog posts, papers or conference talks showing your involvement in the community","    A Principal Data Scientist is responsible for collaborating with a business segment to determine long-term vision and provide analytical support and guidance. A Principal Data Scientist analyzes large data sets to develop multiple, complex custom models and algorithms to drive innovative business solutions. Principal Data Scientists work on large project teams in order to provide analytical support and guidance to a large project team (for example, email targeting, business optimization, consumer recommendations) within Walmart eCommerce. The algorithms builtBuild learning systems to analyze and filter continuous data flows and offline data analysis.Combine data features to determine search models.Conduct advanced statistical analysis to determine trends and significant data relationships.Develop machine learning models to apply test data algorithms to future data.Develop models of current state in order to determine improvements needed.Drives the execution of multiple business plans and projectsEnsures business needs are being metInterpret data to identify trends to go across future data sets.Lead project teams to develop innovative solutions to drive innovative business solutions.Lead the implementation of data modeling solutions.Promotes and supports company policies, procedures, mission, values, and standards of ethics and integrityProvide guidance to cross-functional leadership regarding data modeling possibilities.Provides supervision and development opportunities for associatesResearch new techniques and best practices within the industry.Review business strategies to ensure alignment across initiatives.Scale new algorithms to large data sets.Train algorithms to apply models to new data sets.Translate business needs into data modeling initiatives.Utilize system tools including (MySQL, Hadoop, Weka, R, Matlab,ILog).Validate models and algorithmic techniques. "
